,country,long,lat
0,AFG,65.0,33.0
1,ALB,20.0,41.0
2,DZA,3.0,28.0
3,ASM,-170.0,-14.3333
4,AND,1.6,42.5
5,AGO,18.5,-12.5
6,AIA,-63.1667,18.25
7,ATA,0.0,-90.0
8,ATG,-61.8,17.05
9,ARG,-64.0,-34.0
10,ARM,45.0,40.0
11,ABW,-69.9667,12.5
12,AUS,133.0,-27.0
13,AUT,13.3333,47.3333
14,AZE,47.5,40.5
15,BHS,-76.0,24.25
16,BHR,50.55,26.0
17,BGD,90.0,24.0
18,BRB,-59.5333,13.1667
19,BLR,28.0,53.0
20,BEL,4.0,50.8333
21,BLZ,-88.75,17.25
22,BEN,2.25,9.5
23,BMU,-64.75,32.3333
24,BTN,90.5,27.5
25,BOL,-65.0,-17.0
26,BIH,18.0,44.0
27,BWA,24.0,-22.0
28,BVT,3.4,-54.4333
29,BRA,-55.0,-10.0
30,IOT,71.5,-6.0
31,BRN,114.6667,4.5
32,BGR,25.0,43.0
33,BFA,-2.0,13.0
34,BDI,30.0,-3.5
35,KHM,105.0,13.0
36,CMR,12.0,6.0
37,CAN,-95.0,60.0
38,CPV,-24.0,16.0
39,CYM,-80.5,19.5
40,CAF,21.0,7.0
41,TCD,19.0,15.0
42,CHL,-71.0,-30.0
43,CHN,105.0,35.0
44,CXR,105.6667,-10.5
45,CCK,96.8333,-12.5
46,COL,-72.0,4.0
47,COM,44.25,-12.1667
48,COG,15.0,-1.0
49,COD,25.0,0.0
50,COK,-159.7667,-21.2333
51,CRI,-84.0,10.0
52,CIV,-5.0,8.0
53,HRV,15.5,45.1667
54,CUB,-80.0,21.5
55,CYP,33.0,35.0
56,CZE,15.5,49.75
57,DNK,10.0,56.0
58,DJI,43.0,11.5
59,DMA,-61.3333,15.4167
60,DOM,-70.6667,19.0
61,ECU,-77.5,-2.0
62,EGY,30.0,27.0
63,SLV,-88.9167,13.8333
64,GNQ,10.0,2.0
65,ERI,39.0,15.0
66,EST,26.0,59.0
67,ETH,38.0,8.0
68,FLK,-59.0,-51.75
69,FRO,-7.0,62.0
70,FJI,175.0,-18.0
71,FIN,26.0,64.0
72,FRA,2.0,46.0
73,GUF,-53.0,4.0
74,PYF,-140.0,-15.0
75,ATF,67.0,-43.0
76,GAB,11.75,-1.0
77,GMB,-16.5667,13.4667
78,GEO,43.5,42.0
79,DEU,9.0,51.0
80,GHA,-2.0,8.0
81,GIB,-5.3667,36.1833
82,GRC,22.0,39.0
83,GRL,-40.0,72.0
84,GRD,-61.6667,12.1167
85,GLP,-61.5833,16.25
86,GUM,144.7833,13.4667
87,GTM,-90.25,15.5
88,GGY,-2.56,49.5
89,GIN,-10.0,11.0
90,GNB,-15.0,12.0
91,GUY,-59.0,5.0
92,HTI,-72.4167,19.0
93,HMD,72.5167,-53.1
94,VAT,12.45,41.9
95,HND,-86.5,15.0
96,HKG,114.1667,22.25
97,HUN,20.0,47.0
98,ISL,-18.0,65.0
99,IND,77.0,20.0
100,IDN,120.0,-5.0
101,IRN,53.0,32.0
102,IRQ,44.0,33.0
103,IRL,-8.0,53.0
104,IMN,-4.55,54.23
105,ISR,34.75,31.5
106,ITA,12.8333,42.8333
107,JAM,-77.5,18.25
108,JPN,138.0,36.0
109,JEY,-2.13,49.21
110,JOR,36.0,31.0
111,KAZ,68.0,48.0
112,KEN,38.0,1.0
113,KIR,173.0,1.4167
114,PRK,127.0,40.0
115,KOR,127.5,37.0
116,KWT,47.6581,29.3375
117,KGZ,75.0,41.0
118,LAO,105.0,18.0
119,LVA,25.0,57.0
120,LBN,35.8333,33.8333
121,LSO,28.5,-29.5
122,LBR,-9.5,6.5
123,LBY,17.0,25.0
124,LIE,9.5333,47.1667
125,LTU,24.0,56.0
126,LUX,6.1667,49.75
127,MAC,113.55,22.1667
128,MKD,22.0,41.8333
129,MDG,47.0,-20.0
130,MWI,34.0,-13.5
131,MYS,112.5,2.5
132,MDV,73.0,3.25
133,MLI,-4.0,17.0
134,MLT,14.5833,35.8333
135,MHL,168.0,9.0
136,MTQ,-61.0,14.6667
137,MRT,-12.0,20.0
138,MUS,57.55,-20.2833
139,MYT,45.1667,-12.8333
140,MEX,-102.0,23.0
141,FSM,158.25,6.9167
142,MDA,29.0,47.0
143,MCO,7.4,43.7333
144,MNG,105.0,46.0
145,MNE,19.0,42.0
146,MSR,-62.2,16.75
147,MAR,-5.0,32.0
148,MOZ,35.0,-18.25
149,MMR,98.0,22.0
150,NAM,17.0,-22.0
151,NRU,166.9167,-0.5333
152,NPL,84.0,28.0
153,NLD,5.75,52.5
154,ANT,-68.75,12.25
155,NCL,165.5,-21.5
156,NZL,174.0,-41.0
157,NIC,-85.0,13.0
158,NER,8.0,16.0
159,NGA,8.0,10.0
160,NIU,-169.8667,-19.0333
161,NFK,167.95,-29.0333
162,MNP,145.75,15.2
163,NOR,10.0,62.0
164,OMN,57.0,21.0
165,PAK,70.0,30.0
166,PLW,134.5,7.5
167,PSE,35.25,32.0
168,PAN,-80.0,9.0
169,PNG,147.0,-6.0
170,PRY,-58.0,-23.0
171,PER,-76.0,-10.0
172,PHL,122.0,13.0
173,PCN,-127.4,-24.7
174,POL,20.0,52.0
175,PRT,-8.0,39.5
176,PRI,-66.5,18.25
177,QAT,51.25,25.5
178,REU,55.6,-21.1
179,ROU,25.0,46.0
180,RUS,100.0,60.0
181,RWA,30.0,-2.0
182,SHN,-5.7,-15.9333
183,KNA,-62.75,17.3333
184,LCA,-61.1333,13.8833
185,SPM,-56.3333,46.8333
186,VCT,-61.2,13.25
187,WSM,-172.3333,-13.5833
188,SMR,12.4167,43.7667
189,STP,7.0,1.0
190,SAU,45.0,25.0
191,SEN,-14.0,14.0
192,SRB,21.0,44.0
193,SYC,55.6667,-4.5833
194,SLE,-11.5,8.5
195,SGP,103.8,1.3667
196,SVK,19.5,48.6667
197,SVN,15.0,46.0
198,SLB,159.0,-8.0
199,SOM,49.0,10.0
200,ZAF,24.0,-29.0
201,SGS,-37.0,-54.5
202,SSD,30.0,8.0
203,ESP,-4.0,40.0
204,LKA,81.0,7.0
205,SDN,30.0,15.0
206,SUR,-56.0,4.0
207,SJM,20.0,78.0
208,SWZ,31.5,-26.5
209,SWE,15.0,62.0
210,CHE,8.0,47.0
211,SYR,38.0,35.0
212,TWN,121.0,23.5
213,TJK,71.0,39.0
214,TZA,35.0,-6.0
215,THA,100.0,15.0
216,TLS,125.5167,-8.55
217,TGO,1.1667,8.0
218,TKL,-172.0,-9.0
219,TON,-175.0,-20.0
220,TTO,-61.0,11.0
221,TUN,9.0,34.0
222,TUR,35.0,39.0
223,TKM,60.0,40.0
224,TCA,-71.5833,21.75
225,TUV,178.0,-8.0
226,UGA,32.0,1.0
227,UKR,32.0,49.0
228,ARE,54.0,24.0
229,GBR,-2.0,54.0
230,USA,-97.0,38.0
231,UMI,166.6,19.2833
232,URY,-56.0,-33.0
233,UZB,64.0,41.0
234,VUT,167.0,-16.0
235,VEN,-66.0,8.0
236,VNM,106.0,16.0
237,VGB,-64.5,18.5
238,VIR,-64.8333,18.3333
239,WLF,-176.2,-13.3
240,ESH,-13.0,24.5
241,YEM,48.0,15.0
242,ZMB,30.0,-15.0
243,ZWE,30.0,-20.0
